product_name,price,rating,product_link,subcategory
"MOSISO Compatible with MacBook Air 13 inch Case 2025 2024 2023 2022 M3 A3113 M2 A2681, Plastic Hard Shell&Keyboard Cover&Screen Film&Type C Adapter for MacBook Air 13.6 inch Case, Crystal Clear",12.0,4.3,https://www.amazon.com/MOSISO-Compatible-MacBook-Keyboard-Protector/dp/B0B7H3V2V7/ref=sr_1_40?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-40&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Kensington MP14 Magnetic MacBook Pro Privacy Screen for 14 inch MacBook Pro (2021-2024, M1, M2, M3, M4, Pro, Max), Removable Laptop Privacy Screen, Anti Glare Blue Light MacBook Mac Screen Protector",37.0,4.2,https://www.amazon.com/Kensington-MacBook-Magnetic-Privacy-Screen/dp/B0BZYKKHY8/ref=sr_1_41?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-41&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"7-in-1 USB-C Hub with 100W PD, 4K HDMI, 3 USB Ports, SD/TF Card Reader - Compatible with MacBook Pro/Air, iPad, iPhone 15 and More",4.0,4.0,https://www.amazon.com/Powered-USB-C-Multiport-Hub-Adapter/dp/B0CNT7ZZ6J/ref=sr_1_42?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-42&xpid=h062vM3nTWtUZ,Charger and Cable
"MOSISO Compatible with MacBook Air 13 inch Case 2025 2024 2023 2022 M3 A3113 M2 A2681, Plastic Hard Shell&Sleeve Bag&Keyboard Skin&Webcam Cover&Screen Film for MacBook Air 13.6 inch, Baby Pink",29.0,4.4,https://www.amazon.com/MOSISO-Compatible-Carrying-Keyboard-Protector/dp/B0B9B3WG48/ref=sr_1_43?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-43&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Adjustable Computer Stand with 360 Rotating Base, Ergonimic Foldable Laptop Riser for Desk Compatible with MacBook Pro/Air Notebook up to 16 Inches, Silver",35.0,4.7,https://www.amazon.com/Adjustable-Rotating-Computer-Ergonimic-Compatible/dp/B0B1LH9RDT/ref=sr_1_44?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-44&xpid=h062vM3nTWtUZ,Other
"KLO Rechargeable Bluetooth 5.2/3.0/Type-C/USB-2.4G Mouse for MacBook/MacBook air/Pro/iPad, Wireless Mouse for Laptop/Notebook/pc/iPad/Chromebook (Black)",11.0,4.3,https://www.amazon.com/Rechargeable-Bluetooth-Laptop-Wireless-MacBook/dp/B07R22YVNP/ref=sr_1_45?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-45&xpid=h062vM3nTWtUZ,Mouse and Keyboard
"UGREEN Revodok 105 USB C Hub 5 in 1 Multiport Adapter 4K HDMI, 100W Power Delivery, 3 USB-A Data Ports, USB C Dongle for MacBook Pro/Air, iPad Pro, iMac, iPhone 15 Pro/Pro Max, XPS, Thinkpad",15.0,4.6,https://www.amazon.com/UGREEN-Delivery-Multiport-Adapter-Thinkpad/dp/B0BR3M8XHK/ref=sr_1_46?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-46&xpid=h062vM3nTWtUZ,Charger and Cable
"Mac Book Pro Charger - 120W USB C Fast Charger Adapter Compatible with MacBook Pro & MacBook Air 13, 14, 15, 16 inch, iPad Pro, Samsung Galaxy and All USB C Device",23.0,4.4,https://www.amazon.com/Mac-Book-Pro-Charger-Included/dp/B09MY5FF73/ref=sr_1_47?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-47&xpid=h062vM3nTWtUZ,Charger and Cable
"InnoView Portable Monitor, 15.6 Inch FHD 1080P HDMI USB C Second External Monitor for Laptop, Desktop, MacBook, Phones, Tablet, PS5/4, Xbox, Switch, Built-in Speaker with Protective Case",64.0,4.4,https://www.amazon.com/Portable-Monitor-InnoView-External-Protective/dp/B095GG31KX/ref=sr_1_48?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-48&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Charger for MacBook Air MacBook Pro 13 14 15 16 inch 2024 2023 2022 2021 2020, M1 M2 M3 M4 Laptop 70W USB C Power Adapter, iPad, LED, 6.6FT USB-C Cable, Charging as Fast as Original Quality",27.0,4.5,https://www.amazon.com/Charger-Adapter-Compatible-Thunderbolt-Foldable/dp/B08LVD89GV/ref=sr_1_49?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-49&xpid=h062vM3nTWtUZ,Charger and Cable
"85W Mac Book Pro Charger, Replacement AC 85w 2T-Tip Connector Power Adapter,Laptop Charger Compatible with MacBook pro & Mac Book Pro 13 inch-15 inch Retina After Mid 2012",16.0,4.3,https://www.amazon.com/NSPENCM-Charger-Replacement-Connector-Compatible/dp/B09BVKYWJ5/ref=sr_1_50?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-50&xpid=h062vM3nTWtUZ,Charger and Cable
